AA;K_CORSO_LA;DESCRIZIONE_CDL;SEDE_CDL;PSPA;PSPA_NOME;PSPA_LINGUA_OFFERTA;SEDE_PSPA;ANNO_DI_CORSO;SEMESTRE_PIANO;C_INSEGN;TIPO_INSEGN;DESC_TIPO_INSEGN;DESC_INSEGN;CFU;LINGUA_EROGAZIONE_INSEGN;ORDINE_DI_VISUALIZZAZIONE;DESCRIPTION
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;DDM;DOUBLE DEGREE: COMPUTER SCIENCE AND ENGINEERING & MATHEMATICAL ENGINEERING;EN;MI;2;1;088976;M;MONODISCIPLINARE;GAME THEORY;5,00;EN;2;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;DDM;DOUBLE DEGREE: COMPUTER SCIENCE AND ENGINEERING & MATHEMATICAL ENGINEERING;EN;MI;2;2;095967;M;MONODISCIPLINARE;APPLIED STATISTICS;10,00;EN;3;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;DDM;DOUBLE DEGREE: COMPUTER SCIENCE AND ENGINEERING & MATHEMATICAL ENGINEERING;EN;MI;2;2;089167;M;MONODISCIPLINARE;DATA MINING AND TEXT MINING (UIC 583);5,00;EN;4;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;DDM;DOUBLE DEGREE: COMPUTER SCIENCE AND ENGINEERING & MATHEMATICAL ENGINEERING;EN;MI;2;2;097688;M;MONODISCIPLINARE;ECONOMICS AND COMPUTATION;5,00;EN;5;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;DDM;DOUBLE DEGREE: COMPUTER SCIENCE AND ENGINEERING & MATHEMATICAL ENGINEERING;EN;MI;2;2;097683;M;MONODISCIPLINARE;MACHINE LEARNING;5,00;EN;6;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;DDM;DOUBLE DEGREE: COMPUTER SCIENCE AND ENGINEERING & MATHEMATICAL ENGINEERING;EN;MI;2;1;095903;M;MONODISCIPLINARE;ADVANCED OPERATING SYSTEMS;5,00;EN;7;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;DDM;DOUBLE DEGREE: COMPUTER SCIENCE AND ENGINEERING & MATHEMATICAL ENGINEERING;EN;MI;2;1;089214;M;MONODISCIPLINARE;ARTIFICIAL INTELLIGENCE;5,00;EN;7;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;DDM;DOUBLE DEGREE: COMPUTER SCIENCE AND ENGINEERING & MATHEMATICAL ENGINEERING;EN;MI;2;1;089169;M;MONODISCIPLINARE;AUTONOMOUS AGENTS AND MULTIAGENT SYSTEMS;5,00;EN;7;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;DDM;DOUBLE DEGREE: COMPUTER SCIENCE AND ENGINEERING & MATHEMATICAL ENGINEERING;EN;MI;2;2;095947;M;MONODISCIPLINARE;CRYPTOGRAPHY AND ARCHITECTURES FOR COMPUTER SECURITY;5,00;EN;7;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;DDM;DOUBLE DEGREE: COMPUTER SCIENCE AND ENGINEERING & MATHEMATICAL ENGINEERING;EN;MI;2;1;089216;M;MONODISCIPLINARE;SOFT COMPUTING;5,00;EN;7;
